Reef,Year,B,P,n_transects,Degree,Region,C_ann,C_warm,mhw_days,mhw_cum,lB,lP,lB_c,C,YearF
ESPIRITU_SANTO_ISLOTES_NORTE,2013,6445.58113410221,6.81103547464642,8,25,La Paz,-0.37289371930732,-0.274963768115958,0,0,8.77115007951663,1.91854416067998,-0.826863577157699,-0.529991524874926,2013
ESPIRITU_SANTO_ISLOTES_NORTE,2014,4722.64109587928,4.5873972121879,7,25,La Paz,0.964914499870762,1.39846014492752,156,110.8446,8.46012347629923,1.52331280706709,-1.1378901803751,1.14343238816855,2014
ESPIRITU_SANTO_ISLOTES_NORTE,2015,5328.73517088413,5.96597269659275,8,25,La Paz,1.23411997932282,1.33324275362317,189,138.1761,8.58086918522481,1.7860721095807,-1.01714447144952,1.0782149968642,2015
ESPIRITU_SANTO_ISLOTES_NORTE,2016,26214.1189448237,25.1016290760752,8,25,La Paz,0.8711771058872,0.382155797101434,176,109.6315,10.1740534356234,3.22293274746089,0.576039778949037,0.127128040342466,2016
ESPIRITU_SANTO_ISLOTES_NORTE,2017,9426.05356654023,9.38886706937086,8,25,La Paz,0.405818609459803,0.200634057970999,57,22.7339,9.15123279031712,2.23952463305187,-0.446780866357214,-0.0543936987879687,2017
ESPIRITU_SANTO_ISLOTES_NORTE,2018,16143.7442390051,16.0314288793552,8,25,La Paz,0.371270664254324,0.403351449275347,50,28.6327,9.68928789998804,2.7745511004752,0.0912742433137037,0.148323692516379,2018
ESPIRITU_SANTO_ISLOTES_NORTE,2019,19755.3494741272,18.9003611327085,8,25,La Paz,0.114996691651585,-0.193931159420306,9,3.09049999999999,9.89117959310295,2.93918102943377,0.293165936428617,-0.448958916179274,2019
ESPIRITU_SANTO_ISLOTES_NORTE,2022,13579.030012224,9.24189701529401,8,25,La Paz,0.187188472473503,-0.116974637681175,46,19.3524,9.51628197089033,2.22374716926697,-0.0817316857840016,-0.372002394440143,2022
ESPIRITU_SANTO_ISLOTES_NORTE,2023,5542.9272669389,5.02329583392133,7,25,La Paz,0.292996691651585,0.326177536231868,66,24.7006,8.62027802772789,1.61408625889691,-0.977735628946444,0.0711497794729004,2023
ESPIRITU_SANTO_ISLOTES_NORTE,2024,12108.6613161585,20.1428885202385,7,25,La Paz,0.479209892772445,0.069166666666651,114,65.1605,9.40167628676692,3.00285129906398,-0.196337369907413,-0.185861090092317,2024
ESPIRITU_SANTO_ISLOTES_NORTE,2025,5795.86554605564,7.00037668121074,6,25,La Paz,0.682695321788571,0.70775362318839,149,85.6188,8.66490010545854,1.94596395920906,-0.933113551215797,0.452725866429422,2025
ESPIRITU_SANTO_PAILEBOTE,1998,25835.3852342265,31.8646148571225,5,25,La Paz,0.767215869733776,0.798025362318825,118,68.0288,10.1595003519407,3.4614961419875,0.561486695266398,0.542997605559857,1998
ESPIRITU_SANTO_PAILEBOTE,1999,22592.2844630392,21.5011354369895,5,25,La Paz,-0.315606048074443,-0.168822463768132,0,0,10.0253637315309,3.06810574476193,0.427350074856609,-0.4238502205271,1999
ESPIRITU_SANTO_PAILEBOTE,2000,25766.5150950588,19.0686973210171,4,25,La Paz,-0.230298303948866,-0.115235507246392,20,7.9418,10.1568310634215,2.94804810689716,0.558817406747156,-0.37026326400536,2000
ESPIRITU_SANTO_PAILEBOTE,2001,42187.4774710898,26.2208282184511,5,25,La Paz,-0.765743034375814,-0.914365942029001,2,0.634599999999999,10.6498787135961,3.26655406511552,1.0518650569218,-1.16939369878797,2001
ESPIRITU_SANTO_PAILEBOTE,2002,50699.2677102475,32.4255143392346,5,25,La Paz,-0.43634577410184,-0.414583333333349,17,2.87960000000001,10.8336667458901,3.47894559250491,1.23565308921577,-0.669611090092317,2002
ESPIRITU_SANTO_PAILEBOTE,2003,22577.724243728,11.8635760181242,4,25,La Paz,-0.208592349444306,-0.559365942029001,15,6.3616,10.0247190462527,2.47347286735654,0.426705389578375,-0.814393698787969,2003
ESPIRITU_SANTO_PAILEBOTE,2004,16846.2375441,26.2010190873079,3,25,La Paz,-0.0677573203423083,0.275090579710129,0,0,9.73188261969599,3.26579830647274,0.133868963021657,0.0200628229511614,2004
ESPIRITU_SANTO_PAILEBOTE,2005,12253.7903552614,15.5021760976257,4,25,La Paz,-0.257058102868964,-0.274039855072479,17,5.16230000000001,9.41359058486941,2.74098040746618,-0.184423071804918,-0.529067611831447,2005
ESPIRITU_SANTO_PAILEBOTE,2006,17228.1768625621,17.6035511877393,3,25,La Paz,0.163462445076241,0.518623188405782,59,23.8209,9.75430151211632,2.86810065372151,0.156287855441988,0.263595431646814,2006
ESPIRITU_SANTO_PAILEBOTE,2007,28875.377479906,29.0481118570193,4,25,La Paz,-0.71889371930732,-1.04463768115944,0,0,10.2707445206358,3.36895348486954,0.67273086396149,-1.29966543791841,2007
ESPIRITU_SANTO_PAILEBOTE,2008,23399.312937795,22.228680841916,4,25,La Paz,-0.557784642746679,-0.281594202898566,11,4.97700000000001,10.060461939282,3.10138338487103,0.462448282607705,-0.536621959657534,2008
ESPIRITU_SANTO_PAILEBOTE,2009,23223.6746834752,17.8447545672718,4,25,La Paz,0.0314350478159677,-0.0812681159420447,27,12.35,10.0529274978332,2.88170960326233,0.454913841158824,-0.336295872701012,2009
ESPIRITU_SANTO_PAILEBOTE,2010,35933.0296231394,32.2050615931339,4,25,La Paz,-0.168510157663484,-0.729800724637697,17,7.6014,10.489412196707,3.47212363253029,0.891398540032661,-0.984828481396665,2010
ESPIRITU_SANTO_PAILEBOTE,2011,12451.6123379333,11.7727532485216,4,25,La Paz,-0.0711676919100588,0.754764492753607,58,31.4092,9.42960539856268,2.46578781477691,-0.168408258111651,0.499736735994639,2011
ESPIRITU_SANTO_PAILEBOTE,2012,10010.3408236018,11.5028251222279,2,25,La Paz,-0.235598850396954,-0.04599637681161,24,14.398,9.21137392004151,2.44259266800147,-0.386639736632826,-0.301024133570578,2012
ESPIRITU_SANTO_PAILEBOTE,2013,6696.62584627985,6.43977846241977,4,25,La Paz,-0.37289371930732,-0.274963768115958,0,0,8.80935907349459,1.86249413927918,-0.788654583179739,-0.529991524874926,2013
ESPIRITU_SANTO_PAILEBOTE,2014,17964.4057884214,18.5394126448888,4,25,La Paz,0.964914499870762,1.39846014492752,156,110.8446,9.79614762293165,2.91989887920916,0.198133966257316,1.14343238816855,2014
ESPIRITU_SANTO_PAILEBOTE,2015,10537.3339034148,14.5304207610107,4,25,La Paz,1.23411997932282,1.33324275362317,189,138.1761,9.26267983975787,2.67624443525037,-0.33533381691646,1.0782149968642,2015
ESPIRITU_SANTO_PAILEBOTE,2016,12526.7108287007,13.3909073846991,2,25,La Paz,0.8711771058872,0.382155797101434,176,109.6315,9.43561850973491,2.59457592325466,-0.162395146939424,0.127128040342466,2016
ESPIRITU_SANTO_PAILEBOTE,2017,16932.2772282458,15.6930160193123,4,25,La Paz,0.405818609459803,0.200634057970999,57,22.7339,9.73697697454279,2.75321577384956,0.138963317868461,-0.0543936987879687,2017
ESPIRITU_SANTO_PAILEBOTE,2018,26985.0677740743,22.625559269712,8,25,La Paz,0.371270664254324,0.403351449275347,50,28.6327,10.2030389465958,3.11908020838377,0.605025289921462,0.148323692516379,2018
ESPIRITU_SANTO_PAILEBOTE,2019,14709.6429095838,14.082231846462,8,25,La Paz,0.114996691651585,-0.193931159420306,9,3.09049999999999,9.59625853794963,2.64491384999081,-0.00175511872470757,-0.448958916179274,2019
ESPIRITU_SANTO_PAILEBOTE,2022,14881.0970638502,14.8851008214183,4,25,La Paz,0.187188472473503,-0.116974637681175,46,19.3524,9.60784703307864,2.70036076780176,0.00983337640430548,-0.372002394440143,2022
ESPIRITU_SANTO_PAILEBOTE,2024,33913.0738823401,35.4663145716036,4,25,La Paz,0.479209892772445,0.069166666666651,114,65.1605,10.4315558792668,3.56858336069778,0.833542222592431,-0.185861090092317,2024
